tªn thuéc tÝnh	Cã Ph¶I Lµ TiÒn Tè Hay Kh«ng	 Ngò  Hµnh Yªu Cçu 	Yªu Cçu CÊp §é	ID Thuéc TÝnh 	Tham Sè 1 Tèi ThiÓu	Tham Sè 1 Tèi ®a	Tham Sè 2 Tèi ThiÓu	Tham Sè 2 Tèi ®a	Tham Sè 3 Tèi thiÓu	Tham Sè 3 tèi ®a	HiÖu Qu¶ ThuyÕt Minh
s¸t th­¬ng vËt lý hÖ Ngo¹i c«ng %				126	100	100	-1	-1	6	6	0
Hang long bat vuKNVC				139	1	1	-1	-1	14	14	0
thieu lam quyen phap1KNVC				139	1	1	-1	-1	8	8	0
Long Trao Ho TraoKNVC				139	1	1	-1	-1	271	271	0
Kim Cang Phuc MaKNVC				139	1	1	-1	-1	10	10	0
Thieu Lam Con PHapKNVC				139	1	1	-1	-1	4	4	0
Hoanh Tao Luc HopKNVC				139	1	1	-1	-1	11	11	0
Thieu Lam Dao PhapKNVC				139	1	1	-1	-1	6	6	0
Ma Ha Vo LuongKNVC				139	1	1	-1	-1	19	19	0
 Trao Long QuyÕt KNVC				139	1	1	-1	-1	29	29	0
Thien Vuong Chuy PhapKNVC				139	1	1	-1	-1	26	26	0
 Hµnh V©n QuyÕt KNVC				139	1	1	-1	-1	31	31	0
Thõa Long QuyÕt KNVC				139	1	1	-1	-1	324	324	0
Håi Phong L¹c)KNVC				139	1	1	-1	-1	30	30	0
Thiªn  V­¬ng Th­¬ng  Ph¸pKNVC				139	1	1	-1	-1	23	23	0
D­¬ng quan tam ®iÖp KNVC				139	1	1	-1	-1	35	35	0
M¸u ChiÕn B¸t Ph­¬ng KNVC				139	1	1	-1	-1	41	41	0
Kinh Loi TraoKNVC				139	1	1	-1	-1	34	34	0
Thiªn  V­¬ng  §ao  Ph¸pKNVC				139	1	1	-1	-1	24	24	0
Phach Phong  Trao KNVC				139	1	1	-1	-1	37	37	0
Vo Tuong TraoKNVC				139	1	1	-1	-1	32	32	0
NhÊt DiÖp Tri Thu KNVC				139	1	1	-1	-1	85	85	0
Nga Mi KiÕm  Ph¸pKNVC				139	1	1	-1	-1	77	77	0
Th«i  S¬n Väng NguyÖt KNVC				139	1	1	-1	-1	385	385	0
 BÊt DiÖt  BÊt TuyÖt KNVC				139	1	1	-1	-1	88	88	0
Phiªu TuyÕt Xuyªn M©y KNVC				139	1	1	-1	-1	80	80	0
Nga Mi Ch­ëng  Ph¸p1KNVC				139	1	1	-1	-1	79	79	0
 Tø  T­îng §ång Quy KNVC				139	1	1	-1	-1	82	82	0
 PhËt quang Phæ ChiÕu 1KNVC				139	1	1	-1	-1	91	91	0
 Phong Hoa TuyÕt NguyÖt KNVC				139	1	1	-1	-1	99	99	0
Thóy Yªn  §ao  Ph¸pKNVC				139	1	1	-1	-1	95	95	0
Vò§· Lª Hoa KNVC				139	1	1	-1	-1	105	105	0
Môc D· L­uTinhKNVC				139	1	1	-1	-1	108	108	0
 Phong Cuèn Tµn TuyÕt KNVC				139	1	1	-1	-1	102	102	0
Thóy Yªn Song  §ao 1KNVC				139	1	1	-1	-1	97	97	0
Phong uyÓn t¸n TuyÕt KNVC				139	1	1	-1	-1	113	113	0
BÝch H¶i TriÒu SinhKNVC				139	1	1	-1	-1	111	111	0
§éc Ch­ëng KNVC				139	1	1	-1	-1	63	63	0
 Ngò §éc Ch­ëng  Ph¸pKNVC				139	1	1	-1	-1	62	62	0
 Minh KNVC				139	1	1	-1	-1	68	68	0
Thiªn §Þa  Thñ KNVC				139	1	1	-1	-1	71	71	0
M¸u §ao §éc KNVC				139	1	1	-1	-1	65	65	0
 Ngò §éc  §ao  Ph¸pKNVC				139	1	1	-1	-1	60	60	0
b¸ch §éc Xuyªn T©mKNVC				139	1	1	-1	-1	384	384	0
 Minh KNVC				139	1	1	-1	-1	74	74	0
Ph¶n KNVC				139	1	1	-1	-1	45	45	0
§­êng M«n ¸m KhÝKNVC				139	1	1	-1	-1	43	43	0
Truy T©m TiÔn KNVC				139	1	1	-1	-1	50	50	0
TiÓu lý phi ®aoKNVC				139	1	1	-1	-1	249	249	0
m¹n Thiªn Hoa VòKNVC				139	1	1	-1	-1	54	54	0
Thiªn §Þa KNVC				139	1	1	-1	-1	58	58	0
LiÖt Háa Liªu Nguyªn KNVC				139	1	1	-1	-1	47	47	0
Hoa KNVC				139	1	1	-1	-1	341	341	0
kiÕn Nh©n ThÇn  Thñ KNVC				139	1	1	-1	-1	122	122	0
C¸i Bang Ch­ëng  Ph¸pKNVC				139	1	1	-1	-1	116	116	0
Gi¸ng Long  Ch­ëng KNVC				139	1	1	-1	-1	274	274	0
Kh¸ng Long Huu H«i1KNVC				139	1	1	-1	-1	128	128	0
Diªn M«n §a Tr¸i KNVC				139	1	1	-1	-1	119	119	0
C¸i Bang Bæng  Ph¸pKNVC				139	1	1	-1	-1	115	115	0
§· TrËn KNVC				139	1	1	-1	-1	124	124	0
Bæng §· ¸c CÈu KNVC				139	1	1	-1	-1	125	125	0
Tµn D­¬ngTuyÖt M¸uKNVC				139	1	1	-1	-1	135	135	0
Thiªn NhÉn  Ph¸pKNVC				139	1	1	-1	-1	132	132	0
LiÖt Háa Liªu Thiªn KNVC				139	1	1	-1	-1	141	141	0
Thiªn KNVC				139	1	1	-1	-1	142	142	0
Ph¶n ChØ LiÖt KNVC				139	1	1	-1	-1	145	145	0
Thiªn NhÉn  §ao  Ph¸pKNVC				139	1	1	-1	-1	131	131	0
Th«i S¬n §iÒn h¶i 1KNVC				139	1	1	-1	-1	138	138	0
Long ThÊt 1KNVC				139	1	1	-1	-1	148	148	0
néL«iChØ KNVC				139	1	1	-1	-1	153	153	0
Vâ§ang KiÕm  Ph¸pKNVC				139	1	1	-1	-1	152	152	0
b¾c CÊp Nhi Phôc  Phôc1KNVC				139	1	1	-1	-1	164	164	0
V« Ng· V« KiÕm KiÕm 1KNVC				139	1	1	-1	-1	165	165	0
h¶i NguyÖt KNVC				139	1	1	-1	-1	155	155	0
Vâ§ang KiÕm  Ph¸pKNVC				139	1	1	-1	-1	151	151	0
KiÕm Thiªn KNVC				139	1	1	-1	-1	158	158	0
 Tam Hoµn Tho¸t NguyÖt KNVC				139	1	1	-1	-1	267	267	0
H«  Phong  Ph¸pKNVC				139	1	1	-1	-1	169	169	0
C«n L«n KNVC				139	1	1	-1	-1	167	167	0
NhÊt KhÝ Tam Thanh Phï KNVC				139	1	1	-1	-1	178	178	0
Cuång  Phong ChÊn  L«i KNVC				139	1	1	-1	-1	176	176	0
Cuång «i ChÊn §Þa KNVC				139	1	1	-1	-1	179	179	0
C«n Lu©n KiÕm  Ph¸pKNVC				139	1	1	-1	-1	168	168	0
Thiªn Õ TÊn L«iKNVC				139	1	1	-1	-1	172	172	0
 Ngò L«i Ph¸pKNVC				139	1	1	-1	-1	182	182	0
Hang long bat vuKNVC				139	2	2	-1	-1	14	14	0
thieu lam quyen phap1KNVC				139	2	2	-1	-1	8	8	0
Long Trao Ho TraoKNVC				139	2	2	-1	-1	271	271	0
Kim Cang Phuc MaKNVC				139	2	2	-1	-1	10	10	0
Thieu Lam Con PHapKNVC				139	2	2	-1	-1	4	4	0
Hoanh Tao Luc HopKNVC				139	2	2	-1	-1	11	11	0
Thieu Lam Dao PhapKNVC				139	2	2	-1	-1	6	6	0
Ma Ha Vo LuongKNVC				139	2	2	-1	-1	19	19	0
 Trao Long QuyÕt KNVC				139	2	2	-1	-1	29	29	0
Thien Vuong Chuy PhapKNVC				139	2	2	-1	-1	26	26	0
 Hµnh V©n QuyÕt KNVC				139	2	2	-1	-1	31	31	0
Thõa Long QuyÕt KNVC				139	2	2	-1	-1	324	324	0
Håi Phong L¹cKNVC				139	2	2	-1	-1	30	30	0
Thiªn  V­¬ng Th­¬ng  Ph¸pKNVC				139	2	2	-1	-1	23	23	0
D­¬ng quan tam ®iÖp KNVC				139	2	2	-1	-1	35	35	0
M¸u ChiÕn B¸t Ph­¬ng KNVC				139	2	2	-1	-1	41	41	0
Kinh Loi TraoKNVC				139	2	2	-1	-1	34	34	0
Thiªn  V­¬ng  §ao  Ph¸pKNVC				139	2	2	-1	-1	24	24	0
Phach Phong  Trao KNVC				139	2	2	-1	-1	37	37	0
Vo Tuong TraoKNVC				139	2	2	-1	-1	32	32	0
NhÊt DiÖp Tri Thu KNVC				139	2	2	-1	-1	85	85	0
Nga Mi KiÕm  Ph¸pKNVC				139	2	2	-1	-1	77	77	0
Th«i  S¬n Väng NguyÖt KNVC				139	2	2	-1	-1	385	385	0
 BÊt DiÖt  BÊt TuyÖt KNVC				139	2	2	-1	-1	88	88	0
Phiªu TuyÕt Xuyªn M©y KNVC				139	2	2	-1	-1	80	80	0
Nga Mi Ch­ëng  Ph¸p1KNVC				139	2	2	-1	-1	79	79	0
 Tø  T­îng §ång Quy KNVC				139	2	2	-1	-1	82	82	0
 PhËt quang Phæ ChiÕu 1KNVC				139	2	2	-1	-1	91	91	0
 Phong Hoa TuyÕt NguyÖt KNVC				139	2	2	-1	-1	99	99	0
Thóy Yªn  §ao  Ph¸pKNVC				139	2	2	-1	-1	95	95	0
Vò§· Lª Hoa KNVC				139	2	2	-1	-1	105	105	0
Môc D· L­uTinhKNVC				139	2	2	-1	-1	108	108	0
 Phong Cuèn Tµn TuyÕt KNVC				139	2	2	-1	-1	102	102	0
Thóy Yªn Song  §ao 1KNVC				139	2	2	-1	-1	97	97	0
Phong uyÓn t¸n TuyÕt KNVC				139	2	2	-1	-1	113	113	0
BÝch H¶i TriÒu SinhKNVC				139	2	2	-1	-1	111	111	0
§éc Ch­ëng KNVC				139	2	2	-1	-1	63	63	0
 Ngò §éc Ch­ëng  Ph¸pKNVC				139	2	2	-1	-1	62	62	0
 Minh KNVC				139	2	2	-1	-1	68	68	0
Thiªn §Þa  Thñ KNVC				139	2	2	-1	-1	71	71	0
M¸u §ao §éc KNVC				139	2	2	-1	-1	65	65	0
 Ngò §éc  §ao  Ph¸pKNVC				139	2	2	-1	-1	60	60	0
b¸ch §éc Xuyªn T©mKNVC				139	2	2	-1	-1	384	384	0
 Minh KNVC				139	2	2	-1	-1	74	74	0
Ph¶n KNVC				139	2	2	-1	-1	45	45	0
§­êng M«n ¸m KhÝKNVC				139	2	2	-1	-1	43	43	0
Truy T©m TiÔn KNVC				139	2	2	-1	-1	50	50	0
TiÓu lý phi ®aoKNVC				139	2	2	-1	-1	249	249	0
m¹n Thiªn Hoa VòKNVC				139	2	2	-1	-1	54	54	0
Thiªn §Þa KNVC				139	2	2	-1	-1	58	58	0
LiÖt Háa Liªu Nguyªn KNVC				139	2	2	-1	-1	47	47	0
Hoa KNVC				139	2	2	-1	-1	341	341	0
kiÕn Nh©n ThÇn  Thñ KNVC				139	2	2	-1	-1	122	122	0
C¸i Bang Ch­ëng  Ph¸pKNVC				139	2	2	-1	-1	116	116	0
Gi¸ng Long  Ch­ëng KNVC				139	2	2	-1	-1	274	274	0
Kh¸ng Long Huu H«i1KNVC				139	2	2	-1	-1	128	128	0
Diªn M«n §a Tr¸i KNVC				139	2	2	-1	-1	119	119	0
C¸i Bang Bæng  Ph¸pKNVC				139	2	2	-1	-1	115	115	0
§· TrËn KNVC				139	2	2	-1	-1	124	124	0
Bæng §· ¸c CÈu KNVC				139	2	2	-1	-1	125	125	0
Tµn D­¬ngTuyÖt M¸uKNVC				139	2	2	-1	-1	135	135	0
Thiªn NhÉn  Ph¸pKNVC				139	2	2	-1	-1	132	132	0
LiÖt Háa Liªu Thiªn KNVC				139	2	2	-1	-1	141	141	0
Thiªn KNVC				139	2	2	-1	-1	142	142	0
Ph¶n ChØ LiÖt KNVC				139	2	2	-1	-1	145	145	0
Thiªn NhÉn  §ao  Ph¸pKNVC				139	2	2	-1	-1	131	131	0
Th«i S¬n §iÒn h¶i 1KNVC				139	2	2	-1	-1	138	138	0
Long ThÊt 1KNVC				139	2	2	-1	-1	148	148	0
néL«iChØ KNVC				139	2	2	-1	-1	153	153	0
Vâ§ang KiÕm  Ph¸pKNVC				139	2	2	-1	-1	152	152	0
b¾c CÊp Nhi Phôc  Phôc1KNVC				139	2	2	-1	-1	164	164	0
V« Ng· V« KiÕm KiÕm 1KNVC				139	2	2	-1	-1	165	165	0
h¶i NguyÖt KNVC				139	2	2	-1	-1	155	155	0
Vâ§ang KiÕm  Ph¸pKNVC				139	2	2	-1	-1	151	151	0
KiÕm Thiªn KNVC				139	2	2	-1	-1	158	158	0
 Tam Hoµn Tho¸t NguyÖt KNVC				139	2	2	-1	-1	267	267	0
H«  Phong  Ph¸pKNVC				139	2	2	-1	-1	169	169	0
C«n L«n KNVC				139	2	2	-1	-1	167	167	0
NhÊt KhÝ Tam Thanh Phï KNVC				139	2	2	-1	-1	178	178	0
Cuång  Phong ChÊn  L«i KNVC				139	2	2	-1	-1	176	176	0
Cuång «i ChÊn §Þa KNVC				139	2	2	-1	-1	179	179	0
C«n Lu©n KiÕm  Ph¸pKNVC				139	2	2	-1	-1	168	168	0
Thiªn Õ TÊn L«iKNVC				139	2	2	-1	-1	172	172	0
 Ngò L«i Ph¸pKNVC				139	2	2	-1	-1	182	182	0
Hang long bat vuKNVC				139	3	3	-1	-1	14	14	0
thieu lam quyen phap1KNVC				139	3	3	-1	-1	8	8	0
Long Trao Ho TraoKNVC				139	3	3	-1	-1	271	271	0
Kim Cang Phuc MaKNVC				139	3	3	-1	-1	10	10	0
Thieu Lam Con PHapKNVC				139	3	3	-1	-1	4	4	0
Hoanh Tao Luc HopKNVC				139	3	3	-1	-1	11	11	0
Thieu Lam Dao PhapKNVC				139	3	3	-1	-1	6	6	0
Ma Ha Vo LuongKNVC				139	3	3	-1	-1	19	19	0
 Trao Long QuyÕt KNVC				139	3	3	-1	-1	29	29	0
Thien Vuong Chuy PhapKNVC				139	3	3	-1	-1	26	26	0
 Hµnh V©n QuyÕt KNVC				139	3	3	-1	-1	31	31	0
Thõa Long QuyÕt KNVC				139	3	3	-1	-1	324	324	0
Håi Phong L¹cKNVC				139	3	3	-1	-1	30	30	0
Thiªn  V­¬ng Th­¬ng  Ph¸pKNVC				139	3	3	-1	-1	23	23	0
D­¬ng quan tam ®iÖp KNVC				139	3	3	-1	-1	35	35	0
M¸u ChiÕn B¸t Ph­¬ng KNVC				139	3	3	-1	-1	41	41	0
Kinh Loi TraoKNVC				139	3	3	-1	-1	34	34	0
Thiªn  V­¬ng  §ao  Ph¸pKNVC				139	3	3	-1	-1	24	24	0
Phach Phong  Trao KNVC				139	3	3	-1	-1	37	37	0
Vo Tuong TraoKNVC				139	3	3	-1	-1	32	32	0
NhÊt DiÖp Tri Thu KNVC				139	3	3	-1	-1	85	85	0
Nga Mi KiÕm  Ph¸pKNVC				139	3	3	-1	-1	77	77	0
Th«i  S¬n Väng NguyÖt KNVC				139	3	3	-1	-1	385	385	0
 BÊt DiÖt  BÊt TuyÖt KNVC				139	3	3	-1	-1	88	88	0
Phiªu TuyÕt Xuyªn M©y KNVC				139	3	3	-1	-1	80	80	0
Nga Mi Ch­ëng  Ph¸p1KNVC				139	3	3	-1	-1	79	79	0
 Tø  T­îng §ång Quy KNVC				139	3	3	-1	-1	82	82	0
 PhËt quang Phæ ChiÕu 1KNVC				139	3	3	-1	-1	91	91	0
 Phong Hoa TuyÕt NguyÖt KNVC				139	3	3	-1	-1	99	99	0
Thóy Yªn  §ao  Ph¸pKNVC				139	3	3	-1	-1	95	95	0
Vò§· Lª Hoa KNVC				139	3	3	-1	-1	105	105	0
Môc D· L­uTinhKNVC				139	3	3	-1	-1	108	108	0
 Phong Cuèn Tµn TuyÕt KNVC				139	3	3	-1	-1	102	102	0
Thóy Yªn Song  §ao 1KNVC				139	3	3	-1	-1	97	97	0
Phong uyÓn t¸n TuyÕt KNVC				139	3	3	-1	-1	113	113	0
BÝch H¶i TriÒu SinhKNVC				139	3	3	-1	-1	111	111	0
§éc Ch­ëng KNVC				139	3	3	-1	-1	63	63	0
 Ngò §éc Ch­ëng  Ph¸pKNVC				139	3	3	-1	-1	62	62	0
 Minh KNVC				139	3	3	-1	-1	68	68	0
Thiªn §Þa  Thñ KNVC				139	3	3	-1	-1	71	71	0
M¸u §ao §éc KNVC				139	3	3	-1	-1	65	65	0
 Ngò §éc  §ao  Ph¸pKNVC				139	3	3	-1	-1	60	60	0
b¸ch §éc Xuyªn T©mKNVC				139	3	3	-1	-1	384	384	0
 Minh KNVC				139	3	3	-1	-1	74	74	0
Ph¶n KNVC				139	3	3	-1	-1	45	45	0
§­êng M«n ¸m KhÝKNVC				139	3	3	-1	-1	43	43	0
Truy T©m TiÔn KNVC				139	3	3	-1	-1	50	50	0
TiÓu lý phi ®aoKNVC				139	3	3	-1	-1	249	249	0
m¹n Thiªn Hoa VòKNVC				139	3	3	-1	-1	54	54	0
Thiªn §Þa KNVC				139	3	3	-1	-1	58	58	0
LiÖt Háa Liªu Nguyªn KNVC				139	3	3	-1	-1	47	47	0
Hoa KNVC				139	3	3	-1	-1	341	341	0
kiÕn Nh©n ThÇn  Thñ KNVC				139	3	3	-1	-1	122	122	0
C¸i Bang Ch­ëng  Ph¸pKNVC				139	3	3	-1	-1	116	116	0
Gi¸ng Long  Ch­ëng KNVC				139	3	3	-1	-1	274	274	0
Kh¸ng Long Huu H«i1KNVC				139	3	3	-1	-1	128	128	0
Diªn M«n §a Tr¸i KNVC				139	3	3	-1	-1	119	119	0
C¸i Bang Bæng  Ph¸pKNVC				139	3	3	-1	-1	115	115	0
§· TrËn KNVC				139	3	3	-1	-1	124	124	0
Bæng §· ¸c CÈu KNVC				139	3	3	-1	-1	125	125	0
Tµn D­¬ngTuyÖt M¸uKNVC				139	3	3	-1	-1	135	135	0
Thiªn NhÉn  Ph¸pKNVC				139	3	3	-1	-1	132	132	0
LiÖt Háa Liªu Thiªn KNVC				139	3	3	-1	-1	141	141	0
Thiªn KNVC				139	3	3	-1	-1	142	142	0
Ph¶n ChØ LiÖt KNVC				139	3	3	-1	-1	145	145	0
Thiªn NhÉn  §ao  Ph¸pKNVC				139	3	3	-1	-1	131	131	0
Th«i S¬n §iÒn h¶i 1KNVC				139	3	3	-1	-1	138	138	0
Long ThÊt 1KNVC				139	3	3	-1	-1	148	148	0
néL«iChØ KNVC				139	3	3	-1	-1	153	153	0
Vâ§ang KiÕm  Ph¸pKNVC				139	3	3	-1	-1	152	152	0
b¾c CÊp Nhi Phôc  Phôc1KNVC				139	3	3	-1	-1	164	164	0
V« Ng· V« KiÕm KiÕm 1KNVC				139	3	3	-1	-1	165	165	0
h¶i NguyÖt KNVC				139	3	3	-1	-1	155	155	0
Vâ§ang KiÕm  Ph¸pKNVC				139	3	3	-1	-1	151	151	0
KiÕm Thiªn KNVC				139	3	3	-1	-1	158	158	0
 Tam Hoµn Tho¸t NguyÖt KNVC				139	3	3	-1	-1	267	267	0
H«  Phong  Ph¸pKNVC				139	3	3	-1	-1	169	169	0
C«n L«n KNVC				139	3	3	-1	-1	167	167	0
NhÊt KhÝ Tam Thanh Phï KNVC				139	3	3	-1	-1	178	178	0
Cuång  Phong ChÊn  L«i KNVC				139	3	3	-1	-1	176	176	0
Cuång «i ChÊn §Þa KNVC				139	3	3	-1	-1	179	179	0
C«n Lu©n KiÕm  Ph¸pKNVC				139	3	3	-1	-1	168	168	0
Thiªn Õ TÊn L«iKNVC				139	3	3	-1	-1	172	172	0
 Ngò L«i Ph¸pKNVC				139	3	3	-1	-1	182	182	0
Hoµnh T¶o Thiªn Qu©n 2KNVC				139	1	1	-1	-1	319	319	0
Long Hæ  Trao KNVC				139	1	1	-1	-1	321	321	0
Trïy phong quyÕt KNVC				139	1	1	-1	-1	325	325	0
TinhNguyÖt KNVC				139	1	1	-1	-1	323	323	0
Ph¸ Thiªn  Trao KNVC				139	1	1	-1	-1	322	322	0
Tam Nga TÒ TuyÕt KNVC				139	1	1	-1	-1	328	328	0
Phong S­¬ng To¸i ¶nh KNVC				139	1	1	-1	-1	380	380	0
B¨ng  Tung Vô nh KNVC				139	1	1	-1	-1	336	336	0
B¨ng T©mKNVC				139	1	1	-1	-1	337	337	0
©m Phong Thùc Cèt KNVC				139	1	1	-1	-1	353	353	0
HuyÒn ¢m Tr¶m KNVC				139	1	1	-1	-1	355	355	0
NhiÕp Hån NguyÖt ¶nh KNVC				139	1	1	-1	-1	339	339	0
Vò §x Lª Hoa Lª Hoa KNVC				139	1	1	-1	-1	302	302	0
Cöu Cung Phi TinhKNVC				139	1	1	-1	-1	342	342	0
Phi Long T¹i Thiªn !!!KNVC				139	1	1	-1	-1	357	357	0
Thiªn §Þa V« Cùc KNVC				139	1	1	-1	-1	359	359	0
Lo¹n hoµn kÝch KNVC				139	1	1	-1	-1	361	361	0
Thiªn Ngo¹i L­uTinhKNVC				139	1	1	-1	-1	362	362	0
Thiªn §Þa V« Cùc 1KNVC				139	1	1	-1	-1	365	365	0
Nh©n KiÕm Hîp NhÊt KNVC				139	1	1	-1	-1	368	368	0
Ng¹o TuyÕt Tiªu Phong KNVC				139	1	1	-1	-1	372	372	0
L«i §éng Cöu Thiªn KNVC				139	1	1	-1	-1	375	375	0
Hoµnh T¶o Thiªn Qu©n 2KNVC				139	2	2	-1	-1	319	319	0
Long Hæ  Trao KNVC				139	2	2	-1	-1	321	321	0
Trïy phong quyÕt KNVC				139	2	2	-1	-1	325	325	0
TinhNguyÖt KNVC				139	2	2	-1	-1	323	323	0
Ph¸ Thiªn  Trao KNVC				139	2	2	-1	-1	322	322	0
Tam Nga TÒ TuyÕt KNVC				139	2	2	-1	-1	328	328	0
Phong S­¬ng To¸i ¶nh KNVC				139	2	2	-1	-1	380	380	0
B¨ng  Tung Vô nh KNVC				139	2	2	-1	-1	336	336	0
B¨ng T©mKNVC				139	2	2	-1	-1	337	337	0
©m Phong Thùc Cèt KNVC				139	2	2	-1	-1	353	353	0
HuyÒn ¢m Tr¶m KNVC				139	2	2	-1	-1	355	355	0
NhiÕp Hån NguyÖt ¶nh KNVC				139	2	2	-1	-1	339	339	0
Vò §x Lª Hoa Lª Hoa KNVC				139	2	2	-1	-1	302	302	0
Cöu Cung Phi TinhKNVC				139	2	2	-1	-1	342	342	0
Phi Long T¹i Thiªn !!!KNVC				139	2	2	-1	-1	357	357	0
Thiªn §Þa V« Cùc KNVC				139	2	2	-1	-1	359	359	0
Lo¹n hoµn kÝch KNVC				139	2	2	-1	-1	361	361	0
Thiªn Ngo¹i L­uTinhKNVC				139	2	2	-1	-1	362	362	0
Thiªn §Þa V« Cùc 1KNVC				139	2	2	-1	-1	365	365	0
Nh©n KiÕm Hîp NhÊt KNVC				139	2	2	-1	-1	368	368	0
Ng¹o TuyÕt Tiªu Phong KNVC				139	2	2	-1	-1	372	372	0
L«i §éng Cöu Thiªn KNVC				139	2	2	-1	-1	375	375	0
 Håi Phôc Néi Lùc (D­¬ng)				248	1	1	-1	-1	0	0	0
 Håi Phôc Néi Lùc (D­¬ng)				248	2	2	-1	-1	0	0	0
 Håi Phôc Néi Lùc (D­¬ng)				248	3	3	-1	-1	0	0	0
 Håi Phôc Néi Lùc (D­¬ng)				248	4	4	-1	-1	0	0	0
 Håi Phôc Néi Lùc (D­¬ng)				248	5	5	-1	-1	0	0	0
 Håi Phôc Néi Lùc (D­¬ng)				248	6	6	-1	-1	0	0	0
 Håi Phôc Néi Lùc (D­¬ng)				248	7	7	-1	-1	0	0	0
 Håi Phôc Néi Lùc (D­¬ng)				248	8	8	-1	-1	0	0	0
 Håi Phôc Néi Lùc (D­¬ng)				248	9	9	-1	-1	0	0	0
 Håi Phôc Néi Lùc (D­¬ng)				248	10	10	-1	-1	0	0	0
T¨ng C«ng KÝch KÜ N¨ng %				243	20	20	-1	-1	0	0	0
T¨ng C«ng KÝch KÜ N¨ng %				243	40	40	-1	-1	0	0	0
Míi TriÖt Tiªu S¸t Th­¬ng (§iÓm)				237	60	60	-1	-1	0	0	0
Míi TriÖt Tiªu S¸t Th­¬ng (§iÓm)				237	120	120	-1	-1	0	0	0
§¹t Ma §é Giang1KNVC				139	1	1	-1	-1	318	318	0
§¹t Ma §é Giang2KNVC				139	2	2	-1	-1	318	318	0
§¹t Ma §é Giang3KNVC				139	3	3	-1	-1	318	318	0
Kh¸ng §éc (D­¬ng)				228	25	25	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	30	30	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	35	35	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	40	40	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	45	45	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	50	50	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	55	55	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	60	60	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	65	65	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	70	70	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	75	75	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	80	80	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	85	85	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	90	90	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	95	95	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	100	100	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	105	105	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	110	110	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	115	115	-1	-1	0	0	0
Kh¸ng §éc (D­¬ng)				228	120	120	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	25	25	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	30	30	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	35	35	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	40	40	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	45	45	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	50	50	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	55	55	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	60	60	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	65	65	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	70	70	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	75	75	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	80	80	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	85	85	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	90	90	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	95	95	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	100	100	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	105	105	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	110	110	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	115	115	-1	-1	0	0	0
Kh¸ng L«i ( D­¬ng )				229	120	120	-1	-1	0	0	0
Kh¸ng Háa ( D­¬ng )				230	25	25	-1	-1	0	0	0
Kh¸ng Háa ( D­¬ng )				230	30	30	-1	-1	0	0	0
Kh¸ng Háa ( D­¬ng )				230	35	35	-1	-1	0	0	0
Kh¸ng Háa ( D­¬ng )				230	40	40	-1	-1	0	0	0
Kh¸ng Háa ( D­¬ng )				230	45	45	-1	-1	0	0	0
Kh¸ng Háa ( D­¬ng )				230	50	50	-1	-1	0	0	0
Kh¸ng Háa ( D­¬ng )				230	55	55	-1	-1	0	0	0
Kh¸ng Háa ( D­¬ng )				230	60	60	-1	-1	0	0	0
