TASK_ID_FIRST	TASK_ID_LAST	TASK_NAME	SYNC_FLAG	CLIENT_FLAG	TASK_DESCRIBE
1210		Bé §Õm Sè Qu¸i S¸t Nh©n Trong NhiÖm Vô Ngµn B¶o Khè			
1211		Thêi Gian B¾t §Çu Cña CÊp Bµi NhiÖm Vô Göi Th­			
1212		Thêi Gian Sö Dông Cña CÊp Bµi NhiÖm Vô Göi Th­			
1213		Bé §Õm Thêi Gian Kinh NghiÖm GÊp §«i			
1214		BiÕn NhiÖm Vô §¸nh Qu¸i §Şnh Kú			
1215		BiÕn NhiÖm Vô Qu¸i Bªn C¹nh Boss			
1216		Thêi Gian Hoµn Thµnh NhiÖm Vô			
1217		XÕp H¹ng Thî S¨n TiÒn Th­ëng			
1218		Sè LÇn Hoµn Thµnh NhiÖm Vô Göi Th­			
1219		Cuéc Thi Lªn CÊp T¹i §µi Loan			
1221		Bé §Õm Thêi Gian Cña NhiÖm Vô Göi Th­ Ghi Chó Ngµy			
1222		Bé §Õm Thêi Gian Mçi Ngµy Cña NhiÖm Vô Göi Th­			
1223		Bé §Õm Sè §iÓm Tİch Lòy Hµng Ngµy Cña NhiÖm Vô Göi Th­			
1224		C«ng T¾c §iÓm Tİch Lòy Hµng Ngµy Cña NhiÖm Vô Göi Th­			
1225					
1226		BiÕn NhiÖm Vô §µo T¹o §ång Minh - §å §Ö Cña Cao Nh©n			
1227		BiÕn NhiÖm Vô §µo T¹o §ång Minh - Lç TŞch			
1228		BiÕn NhiÖm Vô §µo T¹o §ång Minh - §­êng ¶nh			
1229		BiÕn NhiÖm Vô §µo T¹o §ång Minh - B¹ch Xµ			
1230		BiÕn NhiÖm Vô §µo T¹o §ång Minh - H¾c Xµ			
1231		BiÕn NhiÖm Vô §µo T¹o §ång Minh - Thuú Y Thñy			
1232		BiÕn NhiÖm Vô §µo T¹o §ång Minh - Lç TŞch Vµ C«ng T¾c Byte Thèng NhÊt			
1233		Sè LÇn Tr¶ Lêi C©u Hái Trong NhiÖm Vô §µo T¹o §ång Minh			
1234		Bé §Õm Thêi Gian NhiÖm Vô §µo T¹o §ång Minh			
1235		C©u Tr¶ Lêi Cña NhiÖm Vô §µo T¹o §ång Minh - H¾c Xµ			
1236		Bé §Õm Sè Qu¸i VËt §· GiÕt §­îc Göi §Õn Ch­¬ng Tr×nh			
1237		BiÕn NhiÖm Vô Ghi L¹i Sè Thø Tù Cña NhiÖm Vô Tu LuyÖn			
1238		BiÕn NhiÖm Vô Ghi L¹i Ngµy Thùc HiÖn Cña NhiÖm Vô Tu LuyÖn			
1239		BiÕn NhiÖm Vô Ghi L¹i Sè Kinh NghiÖm Th­ëng Cña Ng­êi Ch¬i			
1240		BiÕn NhiÖm Vô Ghi L¹i Sè Kinh NghiÖm Th­ëng Cña §ång Minh			
1241		BiÕn NhiÖm Vô Ghi L¹i Sè LÇn Hoµn Thµnh NhiÖm Vô Trong Ngµy Cña Ng­êi Ch¬i			
1242		BiÕn NhiÖm Vô Ghi L¹i Sè LÇn Hoµn Thµnh NhiÖm Vô Tu LuyÖn Toµn Bé Trong Ngµy			
1243		Bé §Õm Sè LÇn §¸nh R×u Trªn Gç			
1244		BiÕn NhiÖm Vô Ghi L¹i T×nh Tr¹ng Hoµn Thµnh NhiÖm Vô Tu LuyÖn			
1245		BiÕn NhiÖm Vô Ghi L¹i CÊp BËc Danh HiÖu Cña NhiÖm Vô Tu LuyÖn §ång Minh			
1246		BiÕn NhiÖm Vô Ghi L¹i Sè LÇn Hoµn Thµnh NhiÖm Vô Trong Ngµy §­îc Cho PhĞp			
1247					
1248					
1249					
1250		BiÕn Th­ëng Cña Cè VÊn ChÕt			
1251		BiÕn NhiÖm Vô Ghi L¹i Qu¸ Tr×nh NhiÖm Vô §ång Minh Kh«ng ThÓ LÆp L¹i			
1252					
1253					
1254		BiÕn NhiÖm Vô Ghi L¹i Ngµy Cña NhiÖm Vô LÆp L¹i §ång Minh			
1255		BiÕn NhiÖm Vô Ghi L¹i Sè LÇn Hoµn Thµnh Trong Ngµy Cña NhiÖm Vô LÆp L¹i §ång Minh			
1256		BiÕn NhiÖm Vô Ghi L¹i Qu¸ Tr×nh Cã ThÓ LÆp L¹i 1 §ång Minh			
1257		BiÕn NhiÖm Vô Ghi L¹i Qu¸ Tr×nh Cã ThÓ LÆp L¹i 2 §ång Minh			
1258		BiÕn NhiÖm Vô Ghi L¹i Qu¸ Tr×nh Cã ThÓ LÆp L¹i 3 §ång Minh			
1259		Bé §Õm Sè L­îng Cá Vµng			
1260		Bé §Õm Sè L­îng L¸ Phİ Linh			
1261		BiÕn Ghi L¹i C«ng T¾c Qu¸i VËt Boss			
1262		BiÕn Ghi L¹i Hoµn Thµnh NhiÖm Vô Ng­êi Göi Th­ Trong NhiÖm Vô §µo T¹o §ång Minh			
1269		ChuyÓn §æi CÊp BËc NhiÖm Vô Tu LuyÖn §ång Minh Cã §· N©ng CÊp Ch­a			
1270		ChuyÓn §æi BËt C«ng T¾c §iÓm Tİch Lòy Cña Ng­êi Göi Th­			
1271		ChuyÓn §æi NhËn §ång Minh Trong NhiÖm Vô §µo T¹o §ång Minh			
1272		BiÕn Ghi L¹i Ngµy NhËn §ång Minh			
1273		§iÓm Kinh NghiÖm Tæng Hîp Mçi Ngµy Tõ NhiÖm Vô Ng­êi Göi Th­			
1274		§iÓm Kinh NghiÖm Tæng Hîp Mçi Ngµy Tõ NhiÖm Vô Ng­êi Göi Th­			
1275		Ph¸t TriÓn NhiÖm Vô Cña Xiao Yang			
1276	1277	H­íng dÉn bang héi 1	 1		
1278	1300	TiÕp tôc ph¸t triÓn sau thiÕt kÕ nhiÖm vô cña TiÓu D­¬ng			
1301		L­u tr÷ nhiÖm vô ngÉu nhiªn hiÖn t¹i mµ ng­êi ch¬i ®· nhËn			
1302		L­u tr÷ nhiÖm vô ngÉu nhiªn ®ang chê ng­êi ch¬i nhËn			
1303		L­u tr÷ tiÕn tr×nh cña nhiÖm vô ngÉu nhiªn			
1304		L­u tr÷ nhiÖm vô cuèn hiÖn t¹i cña ng­êi ch¬i (tÇng hai)			
1305		L­u tr÷ sè ngµy ng­êi ch¬i ®· sö dông cuèn nhiÖm vô			
1306		L­u tr÷ sè lÇn ng­êi ch¬i ®· sö dông cuèn nhiÖm vô			
1307		L­u tr÷ chØ sè t¹m thêi khi ng­êi ch¬i sö dông cuèn nhiÖm vô			
1308		L­u tr÷ ngµy ng­êi ch¬i nhËn nhiÖm vô ngÉu nhiªn			
1309		L­u tr÷ sè lÇn ng­êi ch¬i ®· nhËn nhiÖm vô ngÉu nhiªn			
1310		Kinh nghiÖm sau khi ¨n b¸nh ch­ng chuèi vµo ngµy TÕt ViÖt Nam			
1311		Kinh nghiÖm sau khi ¨n b¸nh ch­ng tæ hîp vµo ngµy TÕt ViÖt Nam			
1312		Kinh nghiÖm sau khi ¨n b¸nh ch­ng pha lª vµo ngµy TÕt ViÖt Nam			
1313		Sù kiÖn Ngµy LÔ T×nh Nh©n t¹i ViÖt Nam			

1398
1399		Thµnh viªn hÖ thèng ng­êi qu¶ng c¸o trß ch¬i			
1400	1499	ThÎ §å ®Ö Vµng			
		Sö dông hÖ thèng S­ ®å			
1501
1502		§iÓm kinh nghiÖm tİch luü khi ¨n b¸nh zongzi			
1505		Thêi gian ¨n b¸nh zongzi			
1506		Ghi nhí nÕu ng­êi ch¬i tù ®éng hñy chøc n¨ng cÊm sö dông biÓu t­îng trë vÒ thµnh phè khi ®¨ng nhËp lÇn sau			
		NÕu ®· nhËn 500.000 kinh nghiÖm			
1507		NhËn th­ëng xÕp h¹ng ®ua thuyÒn rång cÊp ®é c¬ b¶n			
1508		NhËn th­ëng xÕp h¹ng ®ua thuyÒn rång cÊp ®é cao			
1509		NhËn th­ëng xÕp h¹ng ®ua thuyÒn rång cÊp ®é c¬ b¶n sù kiÖn ®æi tªn vïng 20-1			
1550		Thö th¸ch thêi gian S¸t thñ			
1551		Thö th¸ch thêi gian S¸t thñ			
1552		Sù kiÖn Ngµy LÔ T×nh Nh©n n¨m 2006			
1553		Sù kiÖn Ngµy LÔ T×nh Nh©n n¨m 2006			
1560		Sù kiÖn Ng­êi ®am mª S­u tÇm §µi Loan			
1561		Sù kiÖn Ng­êi ®am mª S­u tÇm §µi Loan			
1562		Sù kiÖn ThÊt tŞch Trung Quèc lôc ®Şa			
1563		Sù kiÖn ThÊt tŞch Trung Quèc lôc ®Şa			
1564		Sù kiÖn ThÊt tŞch Trung Quèc lôc ®Şa			
1565		Sù kiÖn ThÊt tŞch Trung Quèc lôc ®Şa			
1566	1569	Sù kiÖn Trung Thu n¨m 2005			
1570		Gi¶i ®Êu vâ l©m lÇn thø hai			
1571		HÖ thèng truyÒn c«ng			
1572		HÖ thèng truyÒn c«ng			
1573		HÖ thèng truyÒn c«ng			
1575		BiÕn sè båi th­êng cho viÖc b¶o tr× m¸y chñ ngµy 22 th¸ng 3 n¨m 2006 trong vïng 18 khu			
1576		BiÕn h»ng cho sù kiÖn båi th­êng ng­êi ch¬i			
1577		Kİch ho¹t/T¾t chøc n¨ng "Tham Can" trong Bang héi			
1578		Thêi gian cßn l¹i ®Ó sö dông chøc n¨ng "Tham Can" trong Bang héi			
1579		NhËn xem ng­êi ch¬i ®· nhËn th­ëng trong Thµnh phè trong thêi gian b¶o tr×			
1580		Thêi gian nhËn th­ëng chøc n¨ng trong Bang héi			
1581		Thêi gian nhËn th­ëng chøc n¨ng trong Thµnh phè			
1582		Sù kiÖn Ngµy ThÊt TŞch n¨m 2006			
1583		Sù kiÖn Ngµy ThÊt TŞch n¨m 2007			
1584		Sù kiÖn Ngµy ThÊt TŞch n¨m 2008			
1585		Sù kiÖn Ngµy ThÊt TŞch n¨m 2009			
1586		Sù kiÖn Ngµy ThÊt TŞch n¨m 2010			

1600		Sù kiÖn PhiÕu Vµo s©n Vâ L©m §¹i Héi			
1601		Sù kiÖn PhiÕu Vµo s©n Vâ L©m §¹i Héi			
1602		Sù kiÖn PhiÕu Vµo s©n Vâ L©m §¹i Héi			
1603		Sù kiÖn Vâ L©m §¹i Héi			
1604		Hoa ®Ìn Trung Thu			
1605		Hoa ®Ìn Trung Thu			
1606		(Ch­¬ng tr×nh t­ëng niÖm) Ghi nhí ph¹m vi cÊp ®é cña ng­êi ch¬i			
1607		(Ch­¬ng tr×nh t­ëng niÖm) Ghi nhí ph¹m vi cÊp ®é cña ng­êi ch¬i			
1608		(Ch­¬ng tr×nh t­ëng niÖm) Ghi nhí ph¹m vi cÊp ®é cña ng­êi ch¬i			
1609		(Ch­¬ng tr×nh t­ëng niÖm) Ghi nhí ng«i mé ng­êi ch¬i nªn thê cóng			
1610		(Ch­¬ng tr×nh t­ëng niÖm) Ghi nhí ngµy ng­êi ch¬i thê cóng			
1611	1660	§Õm giê cho ng­êi ch¬i			
1661	1711	HÖ thèng tİnh ®iÓm			
1712		Ghi nhí thêi gian ng­êi ch¬i ®· trùc tuyÕn			
1713		Ghi nhí thêi gian ng­êi ch¬i ®· ng¾t kÕt nèi			
1714		Ghi nhí thêi gian ng­êi ch¬i ®· ng¾t kÕt nèi lÇn tr­íc			
1715	1735	Tæ chøc Liªn Minh Vâ L©m			
1736		Ghi nhí xem ng­êi ch¬i ®· nhËn cuèn nhiÖm vô ngµy ®ã hay ch­a trong (Ch­¬ng tr×nh t­ëng niÖm) Qingming			
1737		NhËn ¸nh s¸ng cho Bang héi ®øng ®Çu trong sù kiÖn Bang héi			
1738		Ghi nhí sè lÇn ng­êi ch¬i ®· ®µo kho b¸u			
1739		Thêi gian cßn l¹i ®Ó sö dông G¸o Tö Kim			
1740		§¸nh dÊu ng­êi ch¬i ®· sö dông Gç Nh©n hay ch­a			
1741		Th­ëng kinh nghiÖm mçi lÇn sö dông §¹i Hoµn §an			
1742		Thêi gian cßn l¹i ®Ó sö dông §¹i Hoµn §an			
1743		L­îng kinh nghiÖm tèi ®a tõ b¸nh kû niÖm mét n¨m cña Vâ L©m TruyÒn Kú t¹i ViÖt Nam			
1744	1756	ChÊt liÖu ®Æc biÖt trong Bang héi			
1757		Cã cÇn ¸nh s¸ng Bang héi hay kh«ng			
1758		§ang sö dông kü n¨ng V« Song ThÊt Thñ hay kh«ng			
1759		Lo¹i mÆt n¹ ng­êi ch¬i sö dông trong kü n¨ng V« Song ThÊt Thñ			
1760	1775	Ch­¬ng tr×nh Mïng 6 n¨m 2006 t¹i ViÖt Nam			
2000	2300	300 biÕn sè cho hÖ thèng nhiÖm vô			
2301		Sù kiÖn mua ®ång tiÒn vµng (peres) t¹i ViÖt Nam			
2302		Sù kiÖn Mïng 10 Th¸ng 3 (peres) t¹i Malaysia			
2305		Thay ®æi thuËt to¸n tİnh ®iÓm ®èi kh¸ng trong trËn ®Êu, l­u tr÷ gi¸ trŞ liªn c¾t thùc tÕ cña ng­êi ch¬i			
2306	2307	Sù kiÖn Gäi vÒ ng­êi ch¬i cò			
2308	2309	L­u sè lÇn nh¾c nhë ng­êi ch¬i vÒ sù kiÖn			
2310	2311	Sè lÇn nh¾c nhë ng­êi ch¬i khi sù kiÖn míi ®­îc ph¸t hµnh			
2312	2313	Sö dông trong sù kiÖn §Ìn Mª			
2314		Ghi nhí tæng sè l­îng h¹t Vµng Hoµn H¶o ng­êi ch¬i ®· ¨n			
2315		Ghi nhí thêi gian cßn l¹i cña kü n¨ng treo offline			
2316		Ghi nhí ID cña kü n¨ng treo offline			
2320		D÷ liÖu vµ m¸y chñ - Cã cÇn thay ®æi tªn hay kh«ng			
2321		Thêi gian h¹t Vµng Hoµn H¶o			
2322		Sè l­îng h¹t Vµng Hoµn H¶o			
2323		Ghi nhí mapid cña ThŞ trÊn Minh NguyÖt			
2324		Ghi nhí täa ®é x khi ng­êi ch¬i rêi game			
2325		Ghi nhí täa ®é y khi ng­êi ch¬i rêi game			
2326		Ghi nhí ngµy			
2327		Ghi nhí sè lÇn ch¬i trong ngµy			
2328		Ghi nhí sè l­îng ®iÓm ®· chän trong mçi trËn			
2329		Ghi nhí xÕp h¹ng trong trËn			
2330		Ghi nhí sè nhãm cña ng­êi ch¬i			
2331		Béi sè thÎ kinh nghiÖm			
2332		Thêi gian thÎ kinh nghiÖm			
2333		Ghi nhí xem ng­êi ch¬i ®· nhËn båi th­êng kÕt nèi ngµy 12 th¸ng 2005 hay ch­a			
2334		Ghi nhí ngµy ng­êi ch¬i nhËn th­ëng gÊp ®«i trong sù kiÖn N¨m Míi n¨m 2006			
2335		Ghi nhí sè lÇn ng­êi ch¬i nhËn th­ëng gÊp ®«i trong sù kiÖn N¨m Míi n¨m 2006			
2336		Ghi nhí ngµy ng­êi ch¬i nhËn cuèn nhiÖm vô trong sù kiÖn N¨m Míi n¨m 2006			
2337		Ghi nhí sè lÇn ng­êi ch¬i nhËn cuèn nhiÖm vô trong sù kiÖn N¨m Míi n¨m 2006			
2338		Ghi nhí thêi gian tr«i qua kÓ tõ lÇn cuèi ng­êi ch¬i nhËn th­ëng			
2339		Ghi nhí ngµy ng­êi ch¬i nhËn th­ëng lÇn cuèi			
2340		Ghi nhí sè lÇn ng­êi ch¬i nhËn th­ëng			
2341		Ghi nhí tæng ®ãng gãp h¹ng tuÇn khi rêi khái Bang héi			
2342		Ghi nhí ngµy ng­êi ch¬i nhËn th­ëng gÊp ®«i trong sù kiÖn TÕt Nguyªn §¸n n¨m 2006			
2343		Ghi nhí ngµy ng­êi ch¬i nhËn cuèn nhiÖm vô trong sù kiÖn TÕt Nguyªn §¸n n¨m 2006			
2344		NhËn th­ëng kinh nghiÖm TÕt Nguyªn §¸n - Thêi gian tr«i qua kÓ tõ lÇn cuèi nhËn th­ëng			
2345		NhËn th­ëng kinh nghiÖm TÕt Nguyªn §¸n - Ngµy lÇn cuèi nhËn th­ëng			
2346		Ghi nhí tæng sè lÇn tham gia sù kiÖn míi n¨m 2006 - L­u d­íi d¹ng byte			
2347		Ghi nhí sè lÇn nhËn th­ëng gÊp ®«i trong phßng thö th¸ch cña Bang héi			
2348		ba l« b¹n ®ång hµnh	1		
2349	2360		Dµnh cho Bang héi			
2349	2350		Bang héi - §Æc s¶n			
2361		Ghi nhí gi¸ trŞ ®ãng gãp cña ng­êi ch¬i trong Bang héi			
2362		ID cña Bang héi hiÖn t¹i mµ ng­êi ch¬i ®· tham gia (vÉn gi÷ nguyªn sau khi rêi Bang héi)			
2363		Bang héi - §­îc l­u gi÷			
2364		Bang héi - §­îc l­u gi÷			
2365		Bang héi - §­îc l­u gi÷			
2366		Bang héi - §­îc l­u gi÷			
2367		Bang héi - §­îc l­u gi÷			
2368		H¹ng 1 bang héi vâ l©m			
2370		H¹ng 1 bang héi vâ l©m			
2371		H¹ng 1 bang héi vâ l©m			
2372		H¹ng 1 bang héi vâ l©m			
2373		H¹ng 1 bang héi vâ l©m			
2374		H¹ng 1 bang héi vâ l©m			
2375		H¹ng 1 bang héi vâ l©m			
2376		H¹ng 1 bang héi vâ l©m			
2377		H¹ng 1 bang héi vâ l©m			
2378		H¹ng 1 bang héi vâ l©m			
2379		H¹ng 1 bang héi vâ l©m			
2380		H¹ng 1 bang héi vâ l©m			
2381		H¹ng 1 bang héi vâ l©m			
2382		H¹ng 1 bang héi vâ l©m			
2383		H¹ng 1 bang héi vâ l©m			
2384		H¹ng 1 bang héi vâ l©m			
2385		H¹ng 1 bang héi vâ l©m			
2386		H¹ng 1 bang héi vâ l©m			
2387		H¹ng 1 bang héi vâ l©m			
2388		H¹ng 1 bang héi vâ l©m			
2389		Mang Theo §iÓm Cãng HiÕn Khi Rêi Khái Bang	1		
2390		Ghi nhí ngµy nhËn th­ëng hµng ngµy tõ bµn thê			
2391		Ghi nhí sè thø tù t¹m thêi cña vËt phÈm thÎ nhiÖm vô ngÉu nhiªn cña Bang héi			
2392	2403	Sù kiÖn TuyÓn mé §Ö tö cña Bang héi			
2404	2413	Sù kiÖn §¸nh con Yªu n¨m míi cña Bang héi		
2414	2416	Sù kiÖn LÔ 1 th¸ng 5		
2414	2416	Sù kiÖn LÔ 1 th¸ng 5		
2414	2416	Sù kiÖn LÔ 1 th¸ng 5		
2417		Ghi nhí ngµy giíi h¹n cña hÖ thèng S­ ®å trong phiªn b¶n ViÖt Nam			
2418		Ghi nhí sè lÇn giíi h¹n cña hÖ thèng S­ ®å trong phiªn b¶n ViÖt Nam			
2419		Ghi nhí ngµy giíi h¹n nhiÖm vô Ng«i lµng cña phiªn b¶n ViÖt Nam			
2420		Ghi nhí sè lÇn giíi h¹n nhiÖm vô Ng«i lµng cña phiªn b¶n ViÖt Nam			
2421		Ghi nhí ngµy ®æi vËt phÈm cña nhiÖm vô n©ng cÊp trang bŞ tõ §¹i ViÖt sang Kim			
2422		Ghi nhí sè l­îng ®æi vËt phÈm cña nhiÖm vô n©ng cÊp trang bŞ tõ §¹i ViÖt sang Kim			
2423	2433	Sù kiÖn LÔ Du©n NguyÖt			
2434		Sù kiÖn Vâ L©m §¹i Héi lÇn thø 2			
2435		Ghi nhí gi¸ trŞ ®ãng gãp cña ng­êi ch¬i trong Bang héi			
2436		Ghi nhí sè l­îng thÎ bãng ®¸ mµ ng­êi ch¬i ®· nhËn h«m nay trong sù kiÖn World Cup			
2437		Ghi nhí ngµy nhËn thÎ bãng ®¸ cña ng­êi ch¬i trong sù kiÖn World Cup			
2438		Ghi nhí xem ng­êi ch¬i ®· nhËn th­ëng gãi thÎ bãng ®¸ ch­a trong sù kiÖn World Cup			
2439		Ghi nhí gi¸ trŞ ®ãng gãp nhiÖm vô Ng«i lµng trong sù kiÖn World Cup			
2440		Ghi nhí sè lÇn v­ît ¶i trong sù kiÖn World Cup			
2441		Ghi nhí ngµy nhiÖm vô Ng«i lµng trong sù kiÖn World Cup				
2442		Ghi nhí ngµy v­ît ¶i trong sù kiÖn World Cup			
2443		Ghi nhí thêi ®iÓm kÕt thóc chu kú nhËn kü n¨ng ®Æc biÖt cña Bang héi			
2444		Ghi nhí xem ng­êi ch¬i ®· nhËn kü n¨ng ®Æc biÖt cña Bang héi ch­a			
2445		Phiªn b¶n §µi Loan - Ng­êi ch¬i ®­îc nhËn mét hép më réng miÔn phİ mçi ng­êi			
2446		Thêi gian hiÖu lùc cña Tµo Ch©u TiÒn §¹o cho Bang héi			
2447		Phiªn b¶n §µi Loan - Ngµy nhËn th­ëng hµng ngµy			
2448		Phiªn b¶n §µi Loan - Sè lÇn nhËn th­ëng hµng ngµy			
2449	2450	Sù kiÖn World Cup			
2462	2465	Dµnh cho nhiÖm vô kü n¨ng cÊp 120			
2501		§iÓm danh dŞch vô			
2881		Cã cho phĞp ng­êi kh¸c xem th«ng tin chi tiÕt cña m×nh hay kh«ng			
2884		§iÓm Binh cöa nhËt cña ng­êi ch¬i tuÇn tr­íc			
2885		NhiÖm vô kü n¨ng cÊp 150			
2862		Sè l­îng lÇn giÕt boss vµng hµng ngµy (®¸p øng ®iÒu kiÖn céng ®iÓm ho¹t ®éng)			
2863		Sè l­îng lÇn tham gia Phong Linh §é hµng ngµy			
2864		Sè l­îng lÇn v­ît qua tÇng 17 thö th¸ch t¹i môc cao cÊp hµng ngµy			
2865		Sè l­îng lÇn tham gia Phong Linh §é cã sè ®iÓm tõ 1000 trë lªn hµng ngµy			
2866		Sè l­îng lÇn v­ît qua tÇng 10 PhÇn Hoµng B¶o Tµng hµng ngµy			
2867		Sè l­îng lÇn tham gia trËn ®Êu ChiÕn Tr­êng ThÊt Thñ víi İt nhÊt 10 ®iÓm hµng ngµy			
2868		Sè l­îng lÇn th¾ng trong trËn ®Êu Liªn Minh Vâ L©m hµng ngµy			
2869		Thu thËp qu¶ Hoµng H¹c tõ hµng ngµy			
2870		Hoµn thµnh nhiÖm vô v« §iÒu Phæ th«ng hµng ngµy			
2871		Hoµn thµnh nhiÖm vô v« S			
3001	3008	D÷ liÖu b¹n bÌ cïng hµnh tr×nh	1		
3151		Hoµn thµnh sè lÇn thö th¸ch ®µi hµng ngµy	1		
3152		Hoµn thµnh sè lÇn cê h¶o h¸n hµng ngµy	1		
3153		Hoµn thµnh sè lÇn phó quı kim h¹c hµng ngµy	1		
3154		Hoµn thµnh sè lÇn danh m«n hµng ngµy	1		
3155		Hoµn thµnh sè lÇn T©y S¬n èc hµng ngµy	1		
3156		Hoµn thµnh sè lÇn lo¹n chiÕn cöu ch©u cèc hµng ngµy	1		
3157		Hoµn thµnh sè lÇn b¸ch nh©n l·nh ®µi hµng ngµy	1		
3167		Hoµn thµnh sè lÇn §o¹n - Hoµnh S¬n ®Ìn bİ hµng ngµy	1		
3168		Hoµn thµnh sè lÇn yªu s­ nhiÖm vô hµng ngµy	1		
3160		Hoµn thµnh sè lÇn hoµng thµnh t­ huÊn y qu©n hµng ngµy	1		
3172	3178	NhiÖm vô ®Êu tr­êng ®¬n	1		
3182	3185	Ngh×n Trïng L©u	1		
4000	4008	HÖ thèng kinh m¹ch	1		
4010	4014	D÷ liÖu b¹n bÌ cïng hµnh tr×nh	1		
4030	4031	Tham gia chøc n¨ng nhËn th­ëng	1		
4032	4034	NhËn th­ëng thêi gian tİch luü	1		
3450		G«ng TuÖ T«ng	1		
3494		Tr¹ng th¸i nhiÖm vô Long M«n BiÓu Côc	1		
3496		Sè lÇn hµng ngµy Long M«n BiÓu Côc	1		
3497		Thêi gian b¾t ®Çu nhiÖm vô Long M«n BiÓu Côc	1		
3457	3472	TrËn ®Êu t­¬ng l× xung	1		
4078		H­íng dÉn ng­êi ch¬i míi	1		
3481		NhiÖm vô m«n ph¸i Hoa S¬n	1		
4101		NhiÖm vô 7 chuyÓn	1		
4112	4122	Ghi l¹i c¸c biÕn liªn quan ®Õn tİch cùc	1		
4123		§iÓm thµnh tùu	1		
4126	4150	D÷ liÖu hÖ thèng thµnh tùu	1		
4164		§iÓm c¸ nh©n th¸p cæ	1		
4165	4168	PhÇn th­ëng hµng ngµy	1		
5010		NhiÖm vô m«n ph¸i Hoa S¬n	1
